ID,name,dif,time,priority,min.exp,code,urgency
0,"Создать элемент 'Ландшафт' для локации 1 уровня 1, объект 1",5,10,1,5,3,2
1,"Создать элемент 'Ландшафт' для локации 1 уровня 1, объект 2",2,6,3,2,3,3
2,"Создать элемент 'Ландшафт' для локации 1 уровня 1, объект 3",1,2,3,1,3,1
3,"Создать элемент 'Камни' для локации 1 уровня 1, объект 4",1,3,1,1,2,1
4,"Создать элемент 'Препятствия' для локации 1 уровня 1, объект 5",4,4,3,4,2,2
5,"Создать элемент 'Препятствия' для локации 1 уровня 1, объект 6",4,12,2,4,2,3
6,"Создать элемент 'Препятствия' для локации 1 уровня 1, объект 7",1,1,3,1,2,2
7,"Создать элемент 'Камни' для локации 1 уровня 1, объект 8",1,2,2,1,2,2
8,"Создать элемент 'Растительность' для локации 1 уровня 1, объект 9",5,15,3,5,2,3
9,"Создать элемент 'Препятствия' для локации 1 уровня 1, объект 10",2,6,2,2,2,3
10,"Создать элемент 'Анимации' для локации 1 уровня 1, объект 1",3,9,2,3,2,2
11,"Создать элемент 'Анимации' для локации 1 уровня 1, объект 2",4,12,3,4,2,1
12,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 3",1,2,2,1,2,1
13,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 4",4,4,1,4,2,1
14,"Создать элемент 'Звук' для локации 1 уровня 1, объект 5",4,4,2,4,5,3
15,"Создать элемент 'Звук' для локации 1 уровня 1, объект 6",1,1,2,1,5,2
16,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 7",4,12,2,4,2,1
17,"Создать элемент 'Атаки' для локации 1 уровня 1, объект 8",3,6,2,3,1,3
18,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 9",5,15,1,5,2,3
19,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 10",2,4,1,2,2,2
20,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 1",5,15,3,5,2,1
21,"Создать элемент 'Анимации' для локации 1 уровня 1, объект 2",4,8,3,4,2,3
22,"Создать элемент 'Атаки' для локации 1 уровня 1, объект 3",5,15,2,5,1,3
23,"Создать элемент 'Атаки' для локации 1 уровня 1, объект 4",2,6,2,2,1,2
24,"Создать элемент 'Атаки' для локации 1 уровня 1, объект 5",2,6,3,2,1,3
25,"Создать элемент 'Звук' для локации 1 уровня 1, объект 6",4,4,2,4,5,1
26,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 7",4,8,1,4,2,3
27,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 8",1,1,2,1,2,2
28,"Создать элемент 'Звук' для локации 1 уровня 1, объект 9",2,2,3,2,5,2
29,"Создать элемент 'Внешний вид' для локации 1 уровня 1, объект 10",4,8,1,4,2,1
30,"Создать элемент 'Тип' для локации 1 уровня 1, объект 1",3,9,2,3,4,3
31,"Создать элемент 'Тип' для локации 1 уровня 1, объект 2",4,12,2,4,4,1
32,"Создать элемент 'Количество' для локации 1 уровня 1, объект 3",4,12,2,4,4,1
33,"Создать элемент 'Тип' для локации 1 уровня 1, объект 4",2,4,2,2,4,2
34,"Создать элемент 'Количество' для локации 1 уровня 1, объект 5",1,3,1,1,4,3
35,"Создать элемент 'Тип' для локации 1 уровня 1, объект 6",4,4,2,4,4,1
36,"Создать элемент 'Тип' для локации 1 уровня 1, объект 7",1,3,2,1,4,1
37,"Создать элемент 'Тип' для локации 1 уровня 1, объект 8",5,15,2,5,4,2
38,"Создать элемент 'Количество' для локации 1 уровня 1, объект 9",5,5,2,5,4,3
39,"Создать элемент 'Тип' для локации 1 уровня 1, объект 10",3,3,2,3,4,1
40,"Создать элемент 'Саундтрек' для локации 1 уровня 1, объект 1",5,15,1,5,5,1
41,"Создать элемент 'Окружение' для локации 1 уровня 1, объект 2",2,4,2,2,5,2
42,"Создать элемент 'Окружение' для локации 1 уровня 1, объект 3",5,15,3,5,5,1
43,"Создать элемент 'Саундтрек' для локации 1 уровня 1, объект 4",3,6,1,3,5,2
44,"Создать элемент 'Саундтрек' для локации 1 уровня 1, объект 5",1,2,1,1,5,3
45,"Создать элемент 'Окружение' для локации 1 уровня 1, объект 6",3,3,2,3,5,2
46,"Создать элемент 'Окружение' для локации 1 уровня 1, объект 7",5,15,3,5,5,3
47,"Создать элемент 'Окружение' для локации 1 уровня 1, объект 8",4,12,2,4,5,2
48,"Создать элемент 'Саундтрек' для локации 1 уровня 1, объект 9",5,5,2,5,5,3
49,"Создать элемент 'Саундтрек' для локации 1 уровня 1, объект 10",4,12,3,4,5,1
50,"Создать элемент 'Препятствия' для локации 1 уровня 2, объект 1",1,2,3,1,2,2
51,"Создать элемент 'Препятствия' для локации 1 уровня 2, объект 2",5,5,1,5,2,2
52,"Создать элемент 'Препятствия' для локации 1 уровня 2, объект 3",5,10,1,5,2,3
53,"Создать элемент 'Камни' для локации 1 уровня 2, объект 4",2,4,1,2,2,1
54,"Создать элемент 'Камни' для локации 1 уровня 2, объект 5",1,1,2,1,2,2
55,"Создать элемент 'Камни' для локации 1 уровня 2, объект 6",5,15,1,5,2,3
56,"Создать элемент 'Камни' для локации 1 уровня 2, объект 7",2,2,2,2,2,3
57,"Создать элемент 'Растительность' для локации 1 уровня 2, объект 8",1,3,2,1,2,2
58,"Создать элемент 'Растительность' для локации 1 уровня 2, объект 9",2,6,3,2,2,1
59,"Создать элемент 'Камни' для локации 1 уровня 2, объект 10",2,4,3,2,2,1
60,"Создать элемент 'Звук' для локации 1 уровня 2, объект 1",3,9,3,3,5,2
61,"Создать элемент 'Звук' для локации 1 уровня 2, объект 2",4,4,2,4,5,2
62,"Создать элемент 'Внешний вид' для локации 1 уровня 2, объект 3",4,4,1,4,2,1
63,"Создать элемент 'Атаки' для локации 1 уровня 2, объект 4",4,8,1,4,1,2
64,"Создать элемент 'Внешний вид' для локации 1 уровня 2, объект 5",1,2,2,1,2,1
65,"Создать элемент 'Анимации' для локации 1 уровня 2, объект 6",3,9,2,3,2,1
66,"Создать элемент 'Анимации' для локации 1 уровня 2, объект 7",5,5,3,5,2,2
67,"Создать элемент 'Анимации' для локации 1 уровня 2, объект 8",2,2,2,2,2,1
68,"Создать элемент 'Атаки' для локации 1 уровня 2, объект 9",3,9,1,3,1,1
69,"Создать элемент 'Внешний вид' для локации 1 уровня 2, объект 10",5,10,3,5,2,3
70,"Создать элемент 'Атаки' для локации 1 уровня 2, объект 1",2,4,3,2,1,3
71,"Создать элемент 'Атаки' для локации 1 уровня 2, объект 2",5,5,3,5,1,2
72,"Создать элемент 'Анимации' для локации 1 уровня 2, объект 3",5,15,1,5,2,3
73,"Создать элемент 'Внешний вид' для локации 1 уровня 2, объект 4",5,10,3,5,2,1
74,"Создать элемент 'Анимации' для локации 1 уровня 2, объект 5",2,6,1,2,2,2
75,"Создать элемент 'Внешний вид' для локации 1 уровня 2, объект 6",5,15,3,5,2,1
76,"Создать элемент 'Звук' для локации 1 уровня 2, объект 7",3,6,3,3,5,2
77,"Создать элемент 'Атаки' для локации 1 уровня 2, объект 8",3,9,3,3,1,1
78,"Создать элемент 'Звук' для локации 1 уровня 2, объект 9",4,12,3,4,5,3
79,"Создать элемент 'Звук' для локации 1 уровня 2, объект 10",1,2,1,1,5,3
80,"Создать элемент 'Количество' для локации 1 уровня 2, объект 1",5,5,2,5,4,3
81,"Создать элемент 'Тип' для локации 1 уровня 2, объект 2",4,12,2,4,4,2
82,"Создать элемент 'Тип' для локации 1 уровня 2, объект 3",2,4,1,2,4,3
83,"Создать элемент 'Тип' для локации 1 уровня 2, объект 4",2,6,3,2,4,1
84,"Создать элемент 'Количество' для локации 1 уровня 2, объект 5",2,6,2,2,4,1
85,"Создать элемент 'Тип' для локации 1 уровня 2, объект 6",1,1,3,1,4,2
86,"Создать элемент 'Количество' для локации 1 уровня 2, объект 7",2,4,3,2,4,2
87,"Создать элемент 'Количество' для локации 1 уровня 2, объект 8",5,5,1,5,4,2
88,"Создать элемент 'Количество' для локации 1 уровня 2, объект 9",4,8,3,4,4,2
89,"Создать элемент 'Количество' для локации 1 уровня 2, объект 10",1,1,3,1,4,2
90,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 1",4,8,1,4,5,2
91,"Создать элемент 'Саундтрек' для локации 1 уровня 2, объект 2",5,5,3,5,5,1
92,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 3",1,3,1,1,5,1
93,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 4",2,2,3,2,5,2
94,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 5",4,8,2,4,5,1
95,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 6",1,1,2,1,5,3
96,"Создать элемент 'Окружение' для локации 1 уровня 2, объект 7",1,1,3,1,5,3
97,"Создать элемент 'Саундтрек' для локации 1 уровня 2, объект 8",3,9,3,3,5,1
98,"Создать элемент 'Саундтрек' для локации 1 уровня 2, объект 9",4,8,1,4,5,1
99,"Создать элемент 'Саундтрек' для локации 1 уровня 2, объект 10",4,12,3,4,5,3
100,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 1",3,9,3,3,3,3
101,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 2",4,8,1,4,3,1
102,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 3",1,2,3,1,3,3
103,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 4",4,12,3,4,3,2
104,"Создать элемент 'Растительность' для локации 1 уровня 3, объект 5",1,2,2,1,2,3
105,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 6",4,8,3,4,3,2
106,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 7",1,1,1,1,3,3
107,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 8",5,15,3,5,3,2
108,"Создать элемент 'Ландшафт' для локации 1 уровня 3, объект 9",4,12,2,4,3,1
109,"Создать элемент 'Препятствия' для локации 1 уровня 3, объект 10",3,3,1,3,2,1
110,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 1",4,12,2,4,1,3
111,"Создать элемент 'Звук' для локации 1 уровня 3, объект 2",1,3,1,1,5,1
112,"Создать элемент 'Звук' для локации 1 уровня 3, объект 3",5,15,2,5,5,3
113,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 4",2,6,2,2,1,2
114,"Создать элемент 'Звук' для локации 1 уровня 3, объект 5",4,4,1,4,5,2
115,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 6",4,12,3,4,1,3
116,"Создать элемент 'Анимации' для локации 1 уровня 3, объект 7",3,9,3,3,2,1
117,"Создать элемент 'Анимации' для локации 1 уровня 3, объект 8",1,3,3,1,2,2
118,"Создать элемент 'Звук' для локации 1 уровня 3, объект 9",3,3,1,3,5,3
119,"Создать элемент 'Анимации' для локации 1 уровня 3, объект 10",4,4,3,4,2,3
120,"Создать элемент 'Внешний вид' для локации 1 уровня 3, объект 1",4,12,1,4,2,1
121,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 2",3,6,3,3,1,2
122,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 3",1,2,3,1,1,3
123,"Создать элемент 'Звук' для локации 1 уровня 3, объект 4",2,6,2,2,5,1
124,"Создать элемент 'Внешний вид' для локации 1 уровня 3, объект 5",1,3,2,1,2,1
125,"Создать элемент 'Внешний вид' для локации 1 уровня 3, объект 6",2,6,1,2,2,3
126,"Создать элемент 'Звук' для локации 1 уровня 3, объект 7",3,3,3,3,5,1
127,"Создать элемент 'Атаки' для локации 1 уровня 3, объект 8",1,1,3,1,1,2
128,"Создать элемент 'Анимации' для локации 1 уровня 3, объект 9",2,6,3,2,2,3
129,"Создать элемент 'Внешний вид' для локации 1 уровня 3, объект 10",1,3,1,1,2,2
130,"Создать элемент 'Количество' для локации 1 уровня 3, объект 1",5,5,1,5,4,2
131,"Создать элемент 'Количество' для локации 1 уровня 3, объект 2",4,4,1,4,4,2
132,"Создать элемент 'Тип' для локации 1 уровня 3, объект 3",2,4,3,2,4,2
133,"Создать элемент 'Количество' для локации 1 уровня 3, объект 4",4,4,3,4,4,3
134,"Создать элемент 'Тип' для локации 1 уровня 3, объект 5",4,4,1,4,4,3
135,"Создать элемент 'Тип' для локации 1 уровня 3, объект 6",2,6,1,2,4,2
136,"Создать элемент 'Количество' для локации 1 уровня 3, объект 7",1,2,2,1,4,2
137,"Создать элемент 'Тип' для локации 1 уровня 3, объект 8",2,6,1,2,4,3
138,"Создать элемент 'Количество' для локации 1 уровня 3, объект 9",5,15,1,5,4,3
139,"Создать элемент 'Тип' для локации 1 уровня 3, объект 10",4,12,3,4,4,1
140,"Создать элемент 'Окружение' для локации 1 уровня 3, объект 1",3,9,1,3,5,3
141,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 2",4,4,3,4,5,1
142,"Создать элемент 'Окружение' для локации 1 уровня 3, объект 3",4,8,2,4,5,2
143,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 4",2,2,3,2,5,3
144,"Создать элемент 'Окружение' для локации 1 уровня 3, объект 5",3,6,3,3,5,2
145,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 6",3,6,3,3,5,1
146,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 7",4,12,2,4,5,3
147,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 8",3,9,3,3,5,1
148,"Создать элемент 'Окружение' для локации 1 уровня 3, объект 9",4,8,1,4,5,3
149,"Создать элемент 'Саундтрек' для локации 1 уровня 3, объект 10",1,3,1,1,5,2
150,"Создать элемент 'Препятствия' для локации 1 уровня 4, объект 1",3,9,3,3,2,3
